Cycle	Length, mm
200	13.741455
400	13.747512
600	13.745582
800	13.758729
1000	13.786541
1200	13.781178
1400	13.785763
1600	13.788589
1800	13.802285
2000	13.828195
2200	13.856906
2400	13.884645
2600	13.900496
2800	13.940726
3000	13.937384
3200	13.962295
3400	13.981457
3600	13.999929
3800	14.044868
4000	14.06289
4200	14.087237
4400	14.117338
4600	14.125242
4800	14.186755
5000	14.217486
5200	14.229747
5400	14.263641
5600	14.286979
5800	14.340152
6000	14.373962
6200	14.401126
6400	14.436678
6600	14.472333
6800	14.509453
7000	14.541136
7200	14.580884
7400	14.613542
7600	14.650087
7800	14.693168
8000	14.722213
8200	14.765664
8400	14.802112
8600	14.839549
8800	14.885118
9000	14.918911
9200	14.96821
9400	15.009862
9600	15.036155
9800	15.096523
10000	15.131468
10200	15.170336
10400	15.212492
10600	15.249366
10800	15.310536
11000	15.358656
11200	15.393687
11400	15.442854
11600	15.489885
11800	15.542647
12000	15.583503
12200	15.636323
12400	15.682046
12600	15.736851
12800	15.795895
13000	15.838991
13200	15.897448
13400	15.939191
13600	15.994905
13800	16.048517
14000	16.099018
14200	16.1544
14400	16.204048
14600	16.253127
14800	16.32376
15000	16.379884
15200	16.436946
15400	16.500414
15600	16.550615
15800	16.618048
16000	16.678812
16200	16.73246
16400	16.795013
16600	16.85866
16800	16.930216
17000	16.985767
17200	17.056728
17400	17.119997
17600	17.188206
17800	17.264566
18000	17.333555
18200	17.410362
18400	17.476679
18600	17.551455
18800	17.629938
19000	17.705521
19200	17.778238
19400	17.855188
19600	17.929436
19800	18.024792
20000	18.109085
20200	18.185543
20400	18.276365
20600	18.354488
20800	18.45084
21000	18.546135
21200	18.635443
21400	18.737688
21600	18.842245
21800	18.953047
22000	19.055033
22200	19.160351
22400	19.267143
22600	19.38361
22800	19.502913
23000	19.615601
23200	19.738308
23400	19.859093
23600	19.985947
23800	20.122427
24000	20.25238
24200	20.386387
24400	20.531551
24600	20.675175
24800	20.839146
25000	21.005489
25200	21.168211
25400	21.352053
25600	21.543648
25800	21.744459
26000	21.94482
26200	22.159468
26400	22.399147
26600	22.65189
26800	22.935631
27000	23.242687
27200	23.581234
27400	23.975691
27600	24.417002
27800	24.960028
28000	25.622812
28200	26.573952
28400	28.985588
