Cycle	Length, mm
1002	12,675
227569	12,7268895
258631	12,77877899
281677	12,83166636
295705	12,88455373
305725	12,93644323
312739	12,99032848
322759	13,04720735
333781	13,10209047
338791	13,16695234
347809	13,22782271
351817	13,28270583
358831	13,33858682
362617	13,3914742
365845	13,44635732
370855	13,49625106
374863	13,55312993
377869	13,60701518
382879	13,65690893
387889	13,72775804
392323	13,79261991
396907	13,85349029
400915	13,91136703
404923	13,97423315
408931	14,03510352
412939	14,08499727
415945	14,13588889
419635	14,19376563
422959	14,24765088
426967	14,302534
429973	14,3624065
433981	14,43125987
436987	14,48115361
439993	14,53603673
442999	14,58792623
446005	14,6487966
450013	14,71066485
452017	14,76255434
456025	14,83440134
459031	14,89128021
462037	14,94616333
464581	14,99605707
467047	15,05293594
471055	15,11979356
473059	15,18365756
476065	15,24253218
478489	15,29641743
481075	15,35229842
483079	15,40718154
485083	15,45807316
488089	15,51694778
490093	15,57781815
493099	15,64567365
495463	15,69856102
498109	15,77739314
500113	15,83427201
502405	15,89913388
505123	15,96499362
507127	16,01887887
509131	16,08473862
511135	16,13962174
513139	16,19550273
515143	16,25337948
517147	16,3202371
519151	16,37911172
521155	16,43299696
522907	16,50185033
525163	16,57170158
527167	16,6305762
529171	16,69444019
530173	16,74433394
532177	16,79522556
534181	16,88104281
536185	16,95488555
538189	17,0127623
539191	17,06664754
541195	17,13250729
542197	17,18639253
544201	17,25424803
545203	17,30414177
547207	17,38696539
549211	17,47078689
550213	17,52567001
551755	17,60350425
553219	17,6653725
555223	17,76316424
557227	17,84798361
558229	17,90286673
559231	17,9597456
561235	18,05753734
563239	18,15632696
564241	18,2221867
565903	18,30401245
567247	18,37186794
568249	18,43972344
569251	18,49161293
570253	18,54649605
571255	18,60237705
572257	18,66723892
574261	18,78798179
575263	18,84585853
576049	18,9067289
577267	18,97658015
578269	19,03046539
579265	19,10829964
580273	19,16218488
581275	19,2370255
582253	19,3088725
583279	19,37473224
584281	19,44558136
585025	19,50944536
586273	19,61023072
587287	19,68107984
588289	19,76889284
589291	19,85570795
589915	19,9095932
591151	20,01037857
592297	20,10517668
593299	20,1959833
594301	20,28978355
595303	20,37959229
596305	20,48536703
597307	20,58116302
598309	20,67596114
599311	20,78772313
600313	20,88950638
601303	21,01124712
602311	21,11203248
603175	21,21181998
604069	21,31160747
604873	21,41139496
605323	21,46428233
606325	21,5890167
607309	21,71275319
608023	21,81254068
608713	21,91232817
609331	21,99814542
610105	22,11389891
610759	22,2136864
611335	22,29152064
612097	22,41525713
612721	22,51504463
613333	22,61582999
613927	22,71661536
614341	22,78247511
615079	22,91718822
615667	23,01797359
616237	23,11776108
616783	23,21754857
617293	23,31833394
617797	23,41911931
618337	23,5189068
618787	23,61969217
619267	23,71947966
619687	23,82026503
620119	23,92005252
620353	23,97593352
620983	24,12162325
621355	24,21242987
621871	24,32319399
622285	24,42298148
622657	24,52276897
623071	24,62455222
623359	24,70538009
623791	24,82512508
624121	24,92591044
624361	25,00075106
624781	25,12847905
625075	25,22826655
625363	25,31308591
625711	25,4288394
626017	25,5286269
626281	25,62941226
626563	25,73019763
626791	25,830983
627055	25,93276624
627307	26,03454948
627553	26,13633273
627787	26,23811597
628003	26,33989921
628219	26,44168245
628369	26,5155252
628597	26,64624681
628777	26,74803005
628957	26,85081117
629131	26,95259441
629293	27,05537553
629371	27,10726503
629449	27,15815665
629617	27,25894202
629761	27,36172313
629887	27,4665
630007	27,57027899
630121	27,67505586
630217	27,77484335
630307	27,87463084
630373	27,95146721
630487	28,08218883
630571	28,18496995
630643	28,28675319
630715	28,39452368
630781	28,49630692
630847	28,60507529
630907	28,71085003
630961	28,81662477
631009	28,92140164
631057	29,03416151
631081	29,094034
631087	29,11
