Coefficient C	Exponent n	SIF range min, kgs/mm^3/2	SIF range max, kgs/mm^3/2	Temperature
1,00E-10	3,116	93,59	178,74	350
3,89E-11	3,325	107,51	158,77	350
9,47E-11	3,136	111,31	167,95	350
4,31E-10	2,922	94,9	143,15	450
1,99E-09	2,549	92,25	161,44	450
2,74E-10	2,979	89,54	152,74	450
1,10E-09	2,692	87,87	189,15	550
1,22E-09	2,688	87,32	155,25	550
1,29E-10	3,207	87,52	206,98	550
1,89E-08	2,169	75	148,37	650
6,11E-09	2,372	70,75	146,4	650
8,84E-09	2,309	70,63	140,88	650
5,88E-08	2,002	79,4	153,54	750
4,59E-08	2,025	73,57	140,17	750
2,64E-07	1,668	76,24	137,99	750
4,84E-08	2,058	81,43	163,38	750


