Coefficient C	Exponent n	SIF range min, MPa*mm^1/2	SIF range max, MPa*mm^1/2	Temperature
3,84093E-09	3,116	29,02	55,43	350
1,90836E-09	3,325	33,34	49,24	350
3,72354E-09	3,136	34,52	52,08	350
1,31907E-08	2,922	29,43	44,39	450
3,93531E-08	2,549	28,61	50,06	450
8,96448E-09	2,979	27,78	47,37	450
2,57177E-08	2,692	27,25	58,66	550
2,839E-08	2,688	27,08	48,14	550
5,51187E-09	3,207	27,14	64,19	550
2,39532E-07	2,169	23,26	46,01	650
9,82123E-08	2,372	21,94	45,40	650
1,3199E-07	2,309	21,90	43,69	650
6,12862E-07	2,002	24,62	47,61	750
4,91466E-07	2,025	22,81	43,47	750
1,86104E-06	1,668	23,64	42,79	750
5,38649E-07	2,058	25,25	50,67	750



