Coefficient C	Exponent n	SIF range min, kgs/mm^3/2	SIF range max, kgs/mm^3/2	Temperature
4,5336E-14	4,6668	94,11	228,31	20
4,6162E-14	4,6825	83,55	173,14	20
3,4677E-14	4,6745	108,25	172,05	20
1,8083E-14	4,8195	103,02	185,55	20
1,2096E-10	3,0735	71,02	180,97	300
7,5633E-11	3,1775	75,2	178,36	300
2,4494E-11	3,3835	115,39	215,38	300
1,3127E-10	3,0475	81,22	175,7	300
3,5504E-10	2,9075	71,97	188,9	400
3,1144E-10	2,9315	76,9	158,29	400
4,8107E-10	2,8315	83,07	189,47	400
2,8964E-10	2,9405	79,39	160,69	400
1,2033E-09	2,6995	82,54	189,21	500
4,8377E-10	2,8985	69,98	153,58	500
9,1162E-10	2,7455	81,66	188,91	500
2,1747E-09	2,5875	83,84	187,32	500
7,9284E-09	2,3585	62,81	192,62	650
5,7262E-09	2,4085	67,12	169,88	650
4,2146E-09	2,4805	66,16	140,34	650
6,7437E-09	2,3895	67,36	147,02	650
